trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1790397,22:18:30,22:19:30,77,44,"",0,0,45.426
1790397,22:23:30,22:24:30,30,46,"",0,0,48.866
1790397,22:27:30,22:28:30,93,48,"",0,0,52.249
1790397,22:32:00,22:33:00,92,51,"",0,0,55.84
1790397,22:40:00,22:40:30,33,55,"",0,0,62.716
1790397,22:54:00,22:54:00,34,60,"",1,0,69.488
1790398,23:03:30,23:03:30,34,0,"",0,1,31.16
1790398,23:09:30,23:10:30,33,5,"",0,0,37.932
1790398,23:12:30,23:13:30,96,7,"",0,0,38.858
1790398,23:18:30,23:19:30,92,10,"",0,0,44.809
1790398,23:22:30,23:23:30,93,13,"",0,0,48.399
1790398,23:26:30,23:27:30,30,15,"",0,0,51.782
1790398,23:30:30,23:31:30,77,17,"",0,0,55.223
1790398,23:34:30,23:35:30,27,20,"",0,0,58.456
1790398,23:41:00,23:42:30,155,23,"",0,0,63.988
1790398,23:46:00,23:47:00,146,26,"",0,0,67.59
1790398,23:49:00,23:50:00,86,28,"",0,0,69.337
1790398,23:53:00,23:54:00,80,32,"",0,0,71.924
1790398,23:56:30,23:57:30,150,34,"",0,0,73.989
1790398,24:00:30,24:01:30,61,37,"",0,0,76.711
1790398,24:03:00,24:04:00,117,39,"",0,0,77.865
1790398,24:06:30,24:07:30,23,41,"",0,0,79.248
1790398,24:09:00,24:10:00,36,43,"",0,0,80.113
1790398,24:15:00,24:16:00,111,47,"",0,0,83.767
1790398,24:25:00,24:25:30,145,55,"",0,0,92.495
1790398,24:39:00,24:39:00,109,61,"",1,0,100.648
1790399,23:12:00,23:12:00,109,0,"",0,1,0
1790399,23:20:00,23:20:30,145,6,"",0,0,8.153
1790399,23:29:30,23:30:30,111,14,"",0,0,16.881
1790399,23:35:30,23:36:30,36,18,"",0,0,20.536
1790399,23:38:00,23:39:00,23,20,"",0,0,21.4
1790399,23:41:00,23:42:00,117,22,"",0,0,22.783
1790399,23:43:30,23:44:30,61,24,"",0,0,23.937
1790399,23:47:30,23:48:30,150,27,"",0,0,26.659
1790399,23:50:30,23:51:30,80,29,"",0,0,28.725
1790399,23:55:30,23:56:30,86,33,"",0,0,31.312
1790399,23:59:30,24:00:30,146,35,"",0,0,33.058
1790399,24:06:30,24:08:00,155,38,"",0,0,36.66
1790399,24:14:30,24:15:30,27,41,"",0,0,42.192
1790399,24:18:30,24:19:30,77,44,"",0,0,45.426
1790399,24:23:30,24:24:30,30,46,"",0,0,48.866
1790399,24:27:30,24:28:30,93,48,"",0,0,52.249
1790399,24:32:00,24:33:00,92,51,"",0,0,55.84
1790399,24:40:00,24:40:30,33,55,"",0,0,62.716
1790399,24:54:00,24:54:00,34,60,"",1,0,69.488
1790400,05:51:00,05:58:00,158,6,"",0,1,2.544
1790400,06:03:30,06:04:30,55,10,"",0,0,8.479
1790400,06:10:15,06:11:30,132,12,"",0,0,18.024
1790400,06:26:15,06:27:30,106,19,"",0,0,43.436
1790400,06:30:45,06:31:45,37,21,"",0,0,47.253
1790400,06:35:45,06:36:45,83,24,"",0,0,52.235
1790400,06:40:15,06:41:30,82,27,"",0,0,56.428
1790400,06:47:15,06:48:15,134,32,"",0,0,62.556
1790400,06:51:15,06:52:15,70,34,"",0,0,65.9
1790400,06:57:30,06:59:00,40,37,"",0,0,71.201
1790400,07:03:00,07:04:00,110,41,"",0,0,75.74
1790400,07:08:30,07:10:00,112,46,"",0,0,79.76
1790400,07:17:00,07:18:00,145,54,"",0,0,87.956
1790400,07:35:00,07:35:00,109,60,"",1,0,96.11
1790401,06:51:00,06:58:00,158,6,"",0,1,2.544
1790401,07:03:30,07:04:30,55,10,"",0,0,8.479
1790401,07:10:15,07:11:30,132,12,"",0,0,18.024
1790401,07:26:15,07:27:30,106,19,"",0,0,43.436
1790401,07:30:45,07:31:45,37,21,"",0,0,47.253
1790401,07:35:45,07:36:45,83,24,"",0,0,52.235
1790401,07:40:15,07:41:30,82,27,"",0,0,56.428
1790401,07:47:15,07:48:15,134,32,"",0,0,62.556
1790401,07:51:15,07:52:15,70,34,"",0,0,65.9
1790401,07:57:30,07:59:00,40,37,"",0,0,71.201
1790401,08:03:00,08:04:00,110,41,"",0,0,75.74
1790401,08:08:30,08:10:00,112,46,"",0,0,79.76
1790401,08:17:00,08:18:00,145,54,"",0,0,87.956
1790401,08:32:00,08:32:00,109,60,"",1,0,96.11
1790402,07:51:00,07:58:00,158,6,"",0,1,2.544
1790402,08:03:30,08:04:30,55,10,"",0,0,8.479
1790402,08:10:15,08:11:30,132,12,"",0,0,18.024
1790402,08:26:15,08:27:30,106,19,"",0,0,43.436
1790402,08:30:45,08:31:45,37,21,"",0,0,47.253
1790402,08:35:45,08:36:45,83,24,"",0,0,52.235
1790402,08:40:15,08:41:30,82,27,"",0,0,56.428
1790402,08:47:15,08:48:15,134,32,"",0,0,62.556
1790402,08:51:15,08:52:15,70,34,"",0,0,65.9
1790402,08:57:30,08:59:00,40,37,"",0,0,71.201
1790402,09:03:00,09:04:00,110,41,"",0,0,75.74
1790402,09:08:30,09:10:00,112,46,"",0,0,79.76
1790402,09:17:00,09:18:00,145,54,"",0,0,87.956
1790402,09:32:00,09:32:00,109,60,"",1,0,96.11
1790403,09:48:00,10:00:00,158,6,"",0,1,2.544
1790403,10:05:30,10:06:30,55,10,"",0,0,8.479
1790403,10:12:15,10:13:30,132,12,"",0,0,18.024
1790403,10:28:15,10:29:30,106,19,"",0,0,43.436
1790403,10:32:45,10:33:45,37,21,"",0,0,47.253
1790403,10:37:45,10:38:45,83,24,"",0,0,52.235
1790403,10:42:15,10:43:30,82,27,"",0,0,56.428
1790403,10:49:15,10:50:15,134,32,"",0,0,62.556
1790403,10:53:15,10:54:15,70,34,"",0,0,65.9
1790403,10:59:30,11:01:00,40,37,"",0,0,71.201
1790403,11:05:00,11:06:00,110,41,"",0,0,75.74
1790403,11:10:30,11:12:00,112,46,"",0,0,79.76
1790403,11:19:00,11:20:00,145,54,"",0,0,87.956
