trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1804009,6,237919,Hoboken,"1116",0,1116,25,
1791583,9,237319,Trenton Station,"3943",1,3943,109,
1790456,6,237319,Suffern,"1117",1,1117,125,
1804011,6,237919,Hoboken,"1118",0,1118,25,
1812135,9,240272,Trenton Station,"3951",1,3951,109,
1804075,6,237919,Hoboken,"1120",0,1120,25,
1790594,9,238987,Penn Station New York,"3954",0,3954,9,
1804059,6,237919,Hoboken,"1122",0,1122,25,
1810333,9,239721,Trenton Station,"3959",1,3959,109,
1804061,6,237919,Hoboken,"1124",0,1124,25,
1812136,9,240258,Trenton Station,"3963",1,3963,109,
1791255,9,237319,Trenton Station,"3969",1,3969,109,
1804045,6,239650,Suffern,"1125",1,1125,125,
1804063,6,237919,Hoboken,"1126",0,1126,25,
1804047,6,237919,Suffern,"1127",1,1127,125,
1804085,6,237919,Hoboken,"1128",0,1128,25,
1804049,6,237919,Suffern,"1129",1,1129,125,
1804039,6,239650,Hoboken,"1130",0,1130,25,
1804013,6,237919,Hoboken,"1132",0,1132,25,
1804025,6,237361,Suffern,"1133",1,1133,125,
1804065,6,237919,Hoboken,"1134",0,1134,25,
1804067,6,237919,Hoboken,"1136",0,1136,25,
1791672,5,237319,Hoboken,"1146",0,1146,5,
1790490,5,237319,Suffern,"1147",1,1147,105,
1804117,5,237919,Hoboken,"1148",0,1148,5,
1790475,5,237319,Hoboken,"1150",0,1150,5,
1790476,5,237319,Hoboken,"1152",0,1152,5,
1790477,5,237319,Hoboken,"1154",0,1154,5,
1790478,5,237319,Hoboken,"1156",0,1156,5,
1790461,5,237319,Suffern,"1157",1,1157,105,
1791530,5,237319,Hoboken,"1158",0,1158,5,
1790462,5,237319,Suffern,"1159",1,1159,105,
1790479,5,237319,Hoboken,"1160",0,1160,5,
1790463,5,237319,Suffern,"1161",1,1161,105,
1790690,5,237319,Hoboken,"1162",0,1162,5,
1791451,5,237319,Suffern,"1165",1,1165,105,
1791459,5,237319,Suffern,"1167",1,1167,105,
1790491,5,237319,Hoboken,"1168",0,1168,5,
1790970,5,239667,Suffern,"1169",1,1169,105,
1790492,6,239648,Suffern,"1171",1,1171,125,
1790465,5,239648,Suffern,"1173",1,1173,105,
1790451,5,237319,Hoboken,"1174",0,1174,5,
1790466,5,237319,Suffern,"1175",1,1175,105,
1790691,5,237319,Suffern,"1177",1,1177,105,
1790480,5,239648,Hoboken,"1178",0,1178,5,
1790493,5,237319,Suffern,"1179",1,1179,105,
1790453,5,237319,Hoboken,"1182",0,1182,5,
1808929,5,239283,Suffern,"1183",1,1183,105,
1790495,5,237319,Hoboken,"1184",0,1184,5,
1790496,5,237319,Hoboken,"1186",0,1186,5,
1804057,6,237919,Hoboken,"1202",0,1202,25,
1807411,6,237919,Hoboken,"1204",0,1204,25,
1804031,6,237919,Waldwick,"1207",1,1207,125,
1804071,6,237919,Hoboken,"1208",0,1208,25,
1807667,6,238989,Hoboken,"1210",0,1210,25,
1804037,6,237919,Hoboken,"1212",0,1212,25,
1804051,6,237919,Waldwick,"1215",1,1215,125,
1807413,6,237919,Waldwick,"1221",1,1221,125,
1804033,6,239669,Waldwick,"1223",1,1223,125,
1804035,6,241806,Waldwick,"1225",1,1225,125,
1790446,5,237319,Waldwick,"1245",1,1245,105,
1790447,5,237319,Waldwick,"1247",1,1247,105,
1790448,5,237319,Waldwick,"1249",1,1249,105,
1790450,5,237319,Hoboken,"1254",0,1254,5,
1790497,5,237319,Waldwick,"1263",1,1263,105,
1790500,5,237319,Waldwick,"1269",1,1269,105,
1790501,5,239648,Waldwick,"1271",1,1271,105,
1790502,5,237319,Hoboken,"1272",0,1272,5,
1790692,5,237319,Hoboken,"1276",0,1276,5,
1790503,5,239648,Hoboken,"1278",0,1278,5,
1790937,5,237319,Waldwick,"1281",1,1281,105,
1790273,1,242906,Atlantic City Terminal,"4627",0,4627,1,
1790274,1,242906,Philadelphia 30th St.,"4628",1,4628,101,
1790275,1,237319,Philadelphia 30th St.,"4630",1,4630,101,
1791010,1,237319,Atlantic City Terminal,"4631",0,4631,1,
1790276,1,237319,Philadelphia 30th St.,"4632",1,4632,101,
1791011,1,237319,Atlantic City Terminal,"4633",0,4633,1,
1790277,1,237319,Philadelphia 30th St.,"4634",1,4634,101,
1790278,1,237319,Atlantic City Terminal,"4635",0,4635,1,
1790279,1,237319,Philadelphia 30th St.,"4638",1,4638,101,
1790280,1,237319,Atlantic City Terminal,"4639",0,4639,1,
1790281,1,237319,Atlantic City Terminal,"4641",0,4641,1,
1790282,1,237319,Philadelphia 30th St.,"4642",1,4642,101,
1790283,1,237319,Atlantic City Terminal,"4643",0,4643,1,
1791195,1,237320,Atlantic City Terminal,"4651",0,4651,1,
1791140,1,237321,Philadelphia 30th St.,"4660",1,4660,101,
1791144,1,242908,Atlantic City Terminal,"4661",0,4661,1,
1791141,1,237321,Philadelphia 30th St.,"4662",1,4662,101,
1791145,1,242908,Philadelphia 30th St.,"4664",1,4664,101,
1791146,1,242908,Philadelphia 30th St.,"4668",1,4668,101,
1791147,1,242908,Atlantic City Terminal,"4669",0,4669,1,
1791148,1,242908,Philadelphia 30th St.,"4670",1,4670,101,
1791149,1,242908,Atlantic City Terminal,"4671",0,4671,1,
1791150,1,242908,Atlantic City Terminal,"4673",0,4673,1,
1791151,1,242908,Philadelphia 30th St.,"4674",1,4674,101,
1791153,1,242908,Philadelphia 30th St.,"4678",1,4678,101,
1791154,1,242908,Atlantic City Terminal,"4679",0,4679,1,
1791156,1,242908,Philadelphia 30th St.,"4682",1,4682,101,
1791157,1,242908,Atlantic City Terminal,"4683",0,4683,1,
1790284,1,237321,Philadelphia 30th St.,"4684",1,4684,101,
1791142,1,237321,Atlantic City Terminal,"4685",0,4685,1,
1791143,1,237321,Atlantic City Terminal,"4687",0,4687,1,
1790285,1,237321,Philadelphia 30th St.,"4688",1,4688,101,
1790286,1,237321,Atlantic City Terminal,"4689",0,4689,1,
1804803,9,237919,Penn Station New York,"3984",0,3984,9,
1801238,1,237936,Philadelphia 30th St.,"4692",1,4692,101,
1790288,1,237321,Atlantic City Terminal,"4693",0,4693,1,
1801239,1,237937,Atlantic City Terminal,"4697",0,4697,1,
1791158,10,237328,Bay Head,"4705",1,4705,110,
1804717,10,238458,Long Branch,"4708",0,4708,10,
1793818,10,237321,Bay Head,"4721",1,4721,110,
1804748,10,238458,Long Branch,"4724",0,4724,10,
1793820,10,237321,Bay Head,"4729",1,4729,110,
1804749,10,238458,Long Branch,"4732",0,4732,10,
1793822,10,237321,Bay Head,"4737",1,4737,110,
1804750,10,238458,Long Branch,"4740",0,4740,10,
1793815,10,237321,Bay Head,"4745",1,4745,110,
1804751,10,238458,Long Branch,"4748",0,4748,10,
1793824,10,237321,Bay Head,"4753",1,4753,110,
1804752,10,238458,Long Branch,"4756",0,4756,10,
1793827,10,237321,Bay Head,"4761",1,4761,110,
1793828,10,237321,Bay Head,"4765",1,4765,110,
1804754,10,238458,Long Branch,"4768",0,4768,10,
1793831,10,237321,Bay Head,"4773",1,4773,110,
1793832,10,237321,Bay Head,"4777",1,4777,110,
1791159,10,237328,Bay Head,"4785",1,4785,110,
1790950,15,237961,Penn Station New York,"5126",0,5126,15,
1790575,15,237961,Raritan,"5127",1,5127,115,
1791643,15,237961,Penn Station New York,"5132",0,5132,15,
1790290,15,237961,Penn Station New York,"5150",0,5150,15,
1812142,15,240203,Penn Station New York,"5152",0,5152,15,
1791708,15,237961,Penn Station New York,"5154",0,5154,15,
1820995,15,241896,Penn Station New York,"5170",0,5170,15,
1790646,2,242655,Bay Street (Montclair),"0513",1,0513,102,
1791352,15,241896,High Bridge,"5175",1,5175,115,
1791353,15,241896,Penn Station New York,"5176",0,5176,15,
1790599,15,237961,High Bridge,"5179",1,5179,115,
1790948,15,237961,High Bridge,"5193",1,5193,115,
1790572,15,237961,High Bridge,"5197",1,5197,115,
1812302,10,240454,Newark Penn Station,"5200",0,5200,,
1802004,15,238096,Raritan,"5401",1,5401,115,
1790291,15,237319,Raritan,"5403",1,5403,115,
1791680,15,237961,Newark Penn Station,"5404",0,5404,15,
1791455,15,237961,Newark Penn Station,"5408",0,5408,15,
1790289,15,237961,Raritan,"5409",1,5409,115,
1790292,15,237961,Newark Penn Station,"5412",0,5412,15,
1790293,15,237961,Raritan,"5413",1,5413,115,
1790586,15,237961,Raritan,"5415",1,5415,115,
1791273,15,237961,Newark Penn Station,"5416",0,5416,15,
1790294,15,237961,Newark Penn Station,"5420",0,5420,15,
1804667,15,237919,Newark Penn Station,"5422",0,5422,15,
1790296,15,239667,Raritan,"5431",1,5431,115,
1790297,15,237961,Raritan,"5435",1,5435,115,
1790576,15,237961,Newark Penn Station,"5438",0,5438,15,
1791476,15,237961,Raritan,"5439",1,5439,115,
1790587,15,237961,Newark Penn Station,"5440",0,5440,15,
1790298,15,237961,Raritan,"5441",1,5441,115,
1791249,15,237961,Newark Penn Station,"5444",0,5444,15,
1791563,15,241817,Raritan,"5445",1,5445,115,
